,TOP_RGB,BOTTOM_RGB,path
588,"(137, 139, 140)","(86, 86, 87)",street_images/10_48.webp
589,"(134, 132, 148)","(112, 118, 129)",street_images/10_49.webp
590,"(148, 168, 211)","(143, 146, 161)",street_images/10_50.webp
591,"(88, 104, 96)","(152, 162, 191)",street_images/10_51.webp
592,"(120, 101, 94)","(124, 95, 73)",street_images/10_52.webp
593,"(229, 222, 220)","(161, 157, 154)",street_images/10_53.webp
594,"(51, 45, 47)","(39, 42, 48)",street_images/10_54.webp
595,"(166, 157, 159)","(149, 134, 137)",street_images/10_55.webp
596,"(176, 160, 148)","(191, 173, 159)",street_images/10_56.webp
597,"(147, 80, 87)","(93, 88, 85)",street_images/10_57.webp
598,"(43, 48, 55)","(161, 163, 177)",street_images/10_58.webp
599,"(117, 137, 161)","(50, 50, 48)",street_images/10_59.webp
