,TOP_RGB,BOTTOM_RGB,path
427,"(128, 135, 164)","(87, 78, 77)",casual_images/8_7.webp
428,"(99, 76, 88)","(57, 71, 89)",casual_images/8_8.webp
429,"(65, 69, 72)","(117, 113, 115)",casual_images/8_9.webp
430,"(160, 153, 160)","(171, 166, 180)",casual_images/8_10.webp
431,"(30, 31, 35)","(163, 164, 169)",casual_images/8_11.webp
432,"(131, 136, 143)","(115, 105, 113)",casual_images/8_12.webp
433,"(135, 138, 145)","(115, 128, 149)",casual_images/8_13.webp
434,"(178, 173, 172)","(101, 116, 138)",casual_images/8_14.webp
435,"(121, 85, 67)","(79, 98, 132)",casual_images/8_15.webp
436,"(211, 212, 220)","(160, 157, 150)",casual_images/8_16.webp
437,"(70, 71, 91)","(194, 192, 218)",casual_images/8_17.webp
438,"(189, 181, 183)","(34, 34, 39)",casual_images/8_18.webp
439,"(68, 67, 67)","(136, 160, 191)",casual_images/8_19.webp
440,"(49, 53, 60)","(138, 137, 141)",casual_images/8_20.webp
441,"(89, 101, 123)","(179, 165, 169)",casual_images/8_21.webp
443,"(187, 187, 203)","(76, 77, 83)",casual_images/8_23.webp
444,"(76, 75, 81)","(167, 170, 177)",casual_images/8_24.webp
445,"(152, 145, 148)","(165, 149, 175)",casual_images/8_25.webp
446,"(80, 85, 92)","(101, 106, 114)",casual_images/8_26.webp
447,"(102, 99, 100)","(61, 63, 68)",casual_images/8_27.webp
448,"(54, 59, 73)","(72, 72, 87)",casual_images/8_28.webp
449,"(197, 34, 43)","(73, 69, 80)",casual_images/8_29.webp
450,"(161, 143, 166)","(102, 125, 155)",casual_images/8_30.webp
451,"(135, 143, 153)","(141, 124, 125)",casual_images/8_31.webp
452,"(196, 191, 195)","(92, 103, 112)",casual_images/8_32.webp
453,"(64, 117, 126)","(52, 51, 60)",casual_images/8_33.webp
454,"(89, 34, 41)","(112, 120, 136)",casual_images/8_34.webp
455,"(43, 50, 64)","(123, 116, 111)",casual_images/8_35.webp
456,"(115, 117, 124)","(136, 132, 136)",casual_images/8_36.webp
457,"(138, 148, 164)","(175, 183, 203)",casual_images/8_37.webp
458,"(58, 71, 90)","(60, 59, 49)",casual_images/8_38.webp
459,"(167, 164, 186)","(92, 102, 129)",casual_images/8_39.webp
460,"(80, 109, 154)","(87, 92, 112)",casual_images/8_40.webp
461,"(157, 132, 126)","(146, 141, 148)",casual_images/8_41.webp
462,"(170, 174, 190)","(52, 52, 65)",casual_images/8_42.webp
463,"(70, 65, 70)","(65, 63, 70)",casual_images/8_43.webp
464,"(48, 70, 97)","(85, 101, 122)",casual_images/8_44.webp
465,"(167, 162, 164)","(52, 59, 61)",casual_images/8_45.webp
466,"(42, 39, 38)","(73, 71, 58)",casual_images/8_46.webp
467,"(194, 170, 150)","(105, 111, 121)",casual_images/8_47.webp
468,"(130, 123, 118)","(37, 37, 38)",casual_images/8_48.webp
469,"(39, 59, 55)","(71, 75, 89)",casual_images/8_49.webp
470,"(39, 39, 35)","(145, 143, 141)",casual_images/8_50.webp
471,"(187, 192, 203)","(166, 167, 171)",casual_images/8_51.webp
472,"(32, 34, 39)","(43, 63, 92)",casual_images/8_52.webp
473,"(49, 56, 67)","(134, 147, 167)",casual_images/8_53.webp
474,"(52, 50, 56)","(67, 59, 60)",casual_images/8_54.webp
475,"(205, 192, 173)","(92, 107, 123)",casual_images/8_55.webp
476,"(35, 59, 86)","(93, 93, 85)",casual_images/8_56.webp
477,"(110, 107, 112)","(114, 118, 124)",casual_images/8_57.webp
478,"(152, 154, 160)","(130, 136, 146)",casual_images/8_58.webp
479,"(112, 78, 70)","(203, 186, 86)",casual_images/8_59.webp
480,"(48, 43, 48)","(103, 113, 127)",casual_images/9_0.webp
481,"(214, 167, 73)","(102, 97, 96)",casual_images/9_1.webp
482,"(114, 128, 153)","(58, 66, 77)",casual_images/9_2.webp
483,"(55, 57, 63)","(131, 123, 116)",casual_images/9_3.webp
484,"(154, 149, 153)","(117, 122, 121)",casual_images/9_4.webp
485,"(104, 95, 49)","(41, 42, 47)",casual_images/9_5.webp
486,"(183, 186, 196)","(201, 201, 205)",casual_images/9_6.webp
487,"(128, 135, 164)","(87, 78, 77)",casual_images/9_7.webp
488,"(99, 76, 88)","(57, 71, 89)",casual_images/9_8.webp
489,"(65, 69, 72)","(117, 113, 115)",casual_images/9_9.webp
490,"(160, 153, 160)","(171, 166, 180)",casual_images/9_10.webp
491,"(30, 31, 35)","(163, 164, 169)",casual_images/9_11.webp
492,"(131, 136, 143)","(115, 105, 113)",casual_images/9_12.webp
493,"(135, 138, 145)","(115, 128, 149)",casual_images/9_13.webp
494,"(178, 173, 172)","(101, 116, 138)",casual_images/9_14.webp
495,"(121, 85, 67)","(79, 98, 132)",casual_images/9_15.webp
496,"(211, 212, 220)","(160, 157, 150)",casual_images/9_16.webp
497,"(70, 71, 91)","(194, 192, 218)",casual_images/9_17.webp
498,"(189, 181, 183)","(34, 34, 39)",casual_images/9_18.webp
499,"(68, 67, 67)","(136, 160, 191)",casual_images/9_19.webp
500,"(49, 53, 60)","(138, 137, 141)",casual_images/9_20.webp
501,"(89, 101, 123)","(179, 165, 169)",casual_images/9_21.webp
503,"(187, 187, 203)","(76, 77, 83)",casual_images/9_23.webp
504,"(76, 75, 81)","(167, 170, 177)",casual_images/9_24.webp
505,"(152, 145, 148)","(165, 149, 175)",casual_images/9_25.webp
506,"(80, 85, 92)","(101, 106, 114)",casual_images/9_26.webp
507,"(102, 99, 100)","(61, 63, 68)",casual_images/9_27.webp
508,"(54, 59, 73)","(72, 72, 87)",casual_images/9_28.webp
509,"(197, 34, 43)","(73, 69, 80)",casual_images/9_29.webp
510,"(161, 143, 166)","(102, 125, 155)",casual_images/9_30.webp
511,"(135, 143, 153)","(141, 124, 125)",casual_images/9_31.webp
512,"(196, 191, 195)","(92, 103, 112)",casual_images/9_32.webp
513,"(64, 117, 126)","(52, 51, 60)",casual_images/9_33.webp
514,"(89, 34, 41)","(112, 120, 136)",casual_images/9_34.webp
515,"(43, 50, 64)","(123, 116, 111)",casual_images/9_35.webp
516,"(115, 117, 124)","(136, 132, 136)",casual_images/9_36.webp
517,"(138, 148, 164)","(175, 183, 203)",casual_images/9_37.webp
518,"(58, 71, 90)","(60, 59, 49)",casual_images/9_38.webp
519,"(167, 164, 186)","(92, 102, 129)",casual_images/9_39.webp
520,"(80, 109, 154)","(87, 92, 112)",casual_images/9_40.webp
521,"(157, 132, 126)","(146, 141, 148)",casual_images/9_41.webp
522,"(170, 174, 190)","(52, 52, 65)",casual_images/9_42.webp
523,"(70, 65, 70)","(65, 63, 70)",casual_images/9_43.webp
524,"(48, 70, 97)","(85, 101, 122)",casual_images/9_44.webp
525,"(167, 162, 164)","(52, 59, 61)",casual_images/9_45.webp
526,"(42, 39, 38)","(73, 71, 58)",casual_images/9_46.webp
527,"(194, 170, 150)","(105, 111, 121)",casual_images/9_47.webp
528,"(130, 123, 118)","(37, 37, 38)",casual_images/9_48.webp
529,"(39, 59, 55)","(71, 75, 89)",casual_images/9_49.webp
530,"(39, 39, 35)","(145, 143, 141)",casual_images/9_50.webp
531,"(187, 192, 203)","(166, 167, 171)",casual_images/9_51.webp
532,"(32, 34, 39)","(43, 63, 92)",casual_images/9_52.webp
533,"(49, 56, 67)","(134, 147, 167)",casual_images/9_53.webp
534,"(52, 50, 56)","(67, 59, 60)",casual_images/9_54.webp
535,"(205, 192, 173)","(92, 107, 123)",casual_images/9_55.webp
536,"(35, 59, 86)","(93, 93, 85)",casual_images/9_56.webp
537,"(110, 107, 112)","(114, 118, 124)",casual_images/9_57.webp
538,"(152, 154, 160)","(130, 136, 146)",casual_images/9_58.webp
539,"(112, 78, 70)","(203, 186, 86)",casual_images/9_59.webp
540,"(48, 43, 48)","(103, 113, 127)",casual_images/10_0.webp
541,"(214, 167, 73)","(102, 97, 96)",casual_images/10_1.webp
542,"(114, 128, 153)","(58, 66, 77)",casual_images/10_2.webp
543,"(55, 57, 63)","(131, 123, 116)",casual_images/10_3.webp
544,"(154, 149, 153)","(117, 122, 121)",casual_images/10_4.webp
545,"(104, 95, 49)","(41, 42, 47)",casual_images/10_5.webp
