,TOP_RGB,BOTTOM_RGB,path
404,"(87, 107, 141)","(97, 106, 131)",amecaji_images/7_51.webp
405,"(77, 71, 70)","(105, 97, 104)",amecaji_images/7_52.webp
406,"(49, 52, 65)","(84, 81, 87)",amecaji_images/7_53.webp
407,"(49, 53, 62)","(92, 82, 78)",amecaji_images/7_54.webp
408,"(115, 89, 87)","(87, 79, 77)",amecaji_images/7_55.webp
409,"(123, 140, 177)","(131, 140, 170)",amecaji_images/7_56.webp
410,"(54, 55, 59)","(152, 151, 160)",amecaji_images/7_57.webp
411,"(60, 68, 91)","(95, 97, 111)",amecaji_images/7_58.webp
412,"(91, 85, 104)","(65, 83, 126)",amecaji_images/7_59.webp
413,"(45, 53, 56)","(81, 76, 73)",amecaji_images/8_0.webp
414,"(79, 76, 70)","(165, 142, 130)",amecaji_images/8_1.webp
415,"(110, 107, 100)","(102, 88, 75)",amecaji_images/8_2.webp
416,"(101, 118, 162)","(169, 152, 139)",amecaji_images/8_3.webp
417,"(69, 64, 54)","(41, 39, 37)",amecaji_images/8_4.webp
418,"(37, 41, 55)","(54, 55, 62)",amecaji_images/8_5.webp
419,"(93, 95, 107)","(101, 103, 118)",amecaji_images/8_6.webp
420,"(91, 114, 143)","(135, 159, 186)",amecaji_images/8_7.webp
421,"(82, 107, 147)","(150, 158, 186)",amecaji_images/8_8.webp
422,"(94, 70, 56)","(55, 59, 69)",amecaji_images/8_9.webp
423,"(147, 150, 149)","(75, 74, 75)",amecaji_images/8_10.webp
424,"(40, 43, 48)","(53, 59, 75)",amecaji_images/8_11.webp
425,"(49, 56, 68)","(59, 55, 55)",amecaji_images/8_12.webp
426,"(75, 78, 95)","(85, 94, 113)",amecaji_images/8_13.webp
427,"(46, 47, 49)","(152, 149, 148)",amecaji_images/8_14.webp
428,"(111, 118, 152)","(94, 84, 90)",amecaji_images/8_15.webp
429,"(90, 87, 81)","(53, 76, 102)",amecaji_images/8_16.webp
430,"(131, 124, 115)","(159, 151, 140)",amecaji_images/8_17.webp
431,"(34, 34, 37)","(52, 59, 54)",amecaji_images/8_18.webp
432,"(111, 109, 117)","(113, 125, 128)",amecaji_images/8_19.webp
433,"(48, 59, 91)","(86, 81, 93)",amecaji_images/8_20.webp
434,"(85, 77, 74)","(99, 81, 86)",amecaji_images/8_21.webp
435,"(90, 52, 66)","(64, 59, 72)",amecaji_images/8_22.webp
436,"(117, 95, 98)","(125, 121, 133)",amecaji_images/8_23.webp
437,"(70, 80, 105)","(81, 92, 114)",amecaji_images/8_24.webp
438,"(63, 65, 74)","(125, 129, 133)",amecaji_images/8_25.webp
439,"(67, 60, 59)","(65, 75, 93)",amecaji_images/8_26.webp
